"","IP","X_","audio","condition","experimentName","item","response1","response1_time","sound1","time","trialnumber","userCode","userFileName","view"
"125","37.145.247.113",1418757687674,"19_1_fill","NM_Pauc","HSElist1Dec12","fill","Ошибка!",4686,1,NA,27,"KAO9",9,"stimulus.ejs"
"126","37.145.247.113",1418757699679,"20_1_exp","NM_Pl","HSElist1Dec12","exp","Ошибка!",6190,1,NA,28,"KAO9",9,"stimulus.ejs"
"127","37.145.247.113",1418757711378,"21_1_exp","M_Pl","HSElist1Dec12","exp","",NA,1,NA,29,"KAO9",9,"stimulus.ejs"
"128","37.145.247.113",1418757721762,"22_1_fill","NM_Pl","HSElist1Dec12","fill","Ошибка!",4729,1,NA,30,"KAO9",9,"stimulus.ejs"
"129","37.145.247.113",1418757733201,"23_1_exp","NM_Sg","HSElist1Dec12","exp","Ошибка!",6230,1,NA,31,"KAO9",9,"stimulus.ejs"
"130","37.145.247.113",1418757743360,"24_1_fill","M_Pauc","HSElist1Dec12","fill","",NA,1,NA,32,"KAO9",9,"stimulus.ejs"
"131","37.145.247.113",1418757753131,"25_1_fill","M_Pl","HSElist1Dec12","fill","",NA,1,NA,33,"KAO9",9,"stimulus.ejs"
"132","37.145.247.113",1418757764373,"26_1_exp","M_Sg","HSElist1Dec12","exp","",NA,1,NA,34,"KAO9",9,"stimulus.ejs"
"133","37.145.247.113",1418757776145,"27_1_exp","NM_Pl","HSElist1Dec12","exp","Ошибка!",5713,1,NA,35,"KAO9",9,"stimulus.ejs"
"134","37.145.247.113",1418757786881,"28_1_fill","M_Pauc","HSElist1Dec12","fill","",NA,1,NA,36,"KAO9",9,"stimulus.ejs"
"135","37.145.247.113",1418757798203,"29_1_exp","M_Pl","HSElist1Dec12","exp","",NA,1,NA,37,"KAO9",9,"stimulus.ejs"
"136","37.145.247.113",1418757809759,"30_1_fill","NM_Pauc","HSElist1Dec12","fill","Ошибка!",4367,1,NA,38,"KAO9",9,"stimulus.ejs"
"137","37.145.247.113",1418757820163,"31_1_fill","NM_Pl","HSElist1Dec12","fill","Ошибка!",4638,1,NA,39,"KAO9",9,"stimulus.ejs"
"138","37.145.247.113",1418757834198,"32_1_exp","NM_Sg","HSElist1Dec12","exp","Ошибка!",5847,1,NA,40,"KAO9",9,"stimulus.ejs"
"139","37.145.247.113",1418757845687,"33_1_exp","M_Sg","HSElist1Dec12","exp","",NA,1,NA,41,"KAO9",9,"stimulus.ejs"
"140","37.145.247.113",1418757856306,"34_1_fill","NM_Pauc","HSElist1Dec12","fill","Ошибка!",4591,1,NA,42,"KAO9",9,"stimulus.ejs"
"141","37.145.247.113",1418757867710,"35_1_exp","NM_Pl","HSElist1Dec12","exp","Ошибка!",5774,1,NA,43,"KAO9",9,"stimulus.ejs"
"142","37.145.247.113",1418757879445,"36_1_fill","M_Pl","HSElist1Dec12","fill","",NA,1,NA,44,"KAO9",9,"stimulus.ejs"
"143","37.145.247.113",1418757890100,"37_1_fill","M_Pauc","HSElist1Dec12","fill","",NA,1,NA,45,"KAO9",9,"stimulus.ejs"
"144","37.145.247.113",1418757901708,"38_1_exp","M_Pl","HSElist1Dec12","exp","",NA,1,NA,46,"KAO9",9,"stimulus.ejs"
"145","37.145.247.113",1418757913283,"39_1_exp","NM_Sg","HSElist1Dec12","exp","Ошибка!",5833,1,NA,47,"KAO9",9,"stimulus.ejs"
"146","37.145.247.113",1418757923798,"40_1_fill","M_Pl","HSElist1Dec12","fill","",NA,1,NA,48,"KAO9",9,"stimulus.ejs"
"147","37.145.247.113",1418757934661,"41_1_exp","M_Sg","HSElist1Dec12","exp","",NA,1,NA,49,"KAO9",9,"stimulus.ejs"
"148","37.145.247.113",1418757945292,"42_1_fill","NM_Pl","HSElist1Dec12","fill","Ошибка!",5033,1,NA,50,"KAO9",9,"stimulus.ejs"
"149","37.145.247.113",1418757956098,"43_1_fill","NM_Pauc","HSElist1Dec12","fill","Ошибка!",6172,1,NA,51,"KAO9",9,"stimulus.ejs"
"150","37.145.247.113",1418757967191,"44_1_exp","NM_Pl","HSElist1Dec12","exp","Ошибка!",5850,1,NA,52,"KAO9",9,"stimulus.ejs"
"151","37.145.247.113",1418757979843,"45_1_exp","M_Pl","HSElist1Dec12","exp","",NA,1,NA,53,"KAO9",9,"stimulus.ejs"
"152","37.145.247.113",1418757990412,"46_1_fill","NM_Pl","HSElist1Dec12","fill","Ошибка!",4359,1,NA,54,"KAO9",9,"stimulus.ejs"
"153","37.145.247.113",1418758003103,"47_1_exp","NM_Sg","HSElist1Dec12","exp","Ошибка!",6263,1,NA,55,"KAO9",9,"stimulus.ejs"
"154","37.145.247.113",1418758014051,"48_1_fill","M_Pauc","HSElist1Dec12","fill","",NA,1,NA,56,"KAO9",9,"stimulus.ejs"
"155","37.145.247.113",1418758023692,"49_1_fill","M_Pl","HSElist1Dec12","fill","",NA,1,NA,57,"KAO9",9,"stimulus.ejs"
"156","37.145.247.113",1418758034832,"50_1_exp","M_Sg","HSElist1Dec12","exp","",NA,1,NA,58,"KAO9",9,"stimulus.ejs"
"157","37.145.247.113",1418758046764,"51_1_exp","NM_Pl","HSElist1Dec12","exp","Ошибка!",6083,1,NA,59,"KAO9",9,"stimulus.ejs"
"158","37.145.247.113",1418758056727,"52_1_fill","M_Pauc","HSElist1Dec12","fill","",NA,1,NA,60,"KAO9",9,"stimulus.ejs"
"159","37.145.247.113",1418758068181,"53_1_exp","M_Pl","HSElist1Dec12","exp","",NA,1,NA,61,"KAO9",9,"stimulus.ejs"
"160","37.145.247.113",1418758078064,"54_1_fill","NM_Pauc","HSElist1Dec12","fill","Ошибка!",4724,1,NA,62,"KAO9",9,"stimulus.ejs"
"161","37.145.247.113",1418758088331,"55_1_fill","NM_Pl","HSElist1Dec12","fill","Ошибка!",4622,1,NA,63,"KAO9",9,"stimulus.ejs"
"162","37.145.247.113",1418758100227,"56_1_exp","NM_Sg","HSElist1Dec12","exp","Ошибка!",6510,1,NA,64,"KAO9",9,"stimulus.ejs"
"163","37.145.247.113",1418758111839,"57_1_exp","M_Sg","HSElist1Dec12","exp","",NA,1,NA,65,"KAO9",9,"stimulus.ejs"
"164","37.145.247.113",1418758121724,"58_1_fill","NM_Pauc","HSElist1Dec12","fill","Ошибка!",4417,1,NA,66,"KAO9",9,"stimulus.ejs"
"165","37.145.247.113",1418758133840,"59_1_exp","NM_Pl","HSElist1Dec12","exp","Ошибка!",5899,1,NA,67,"KAO9",9,"stimulus.ejs"
"166","37.145.247.113",1418758143313,"60_1_fill","M_Pl","HSElist1Dec12","fill","",NA,1,NA,68,"KAO9",9,"stimulus.ejs"
"167","37.145.247.113",1418758153972,"61_1_fill","M_Pauc","HSElist1Dec12","fill","",NA,1,NA,69,"KAO9",9,"stimulus.ejs"
"168","37.145.247.113",1418758165195,"62_1_exp","M_Pl","HSElist1Dec12","exp","",NA,1,NA,70,"KAO9",9,"stimulus.ejs"
"169","37.145.247.113",1418758176560,"63_1_exp","NM_Sg","HSElist1Dec12","exp","Ошибка!",5690,1,NA,71,"KAO9",9,"stimulus.ejs"
"170","37.145.247.113",1418758186443,"64_1_fill","NM_Pl","HSElist1Dec12","fill","Ошибка!",4640,1,NA,72,"KAO9",9,"stimulus.ejs"
"171","37.145.247.113",1418758196696,"65_1_exp","M_Sg","HSElist1Dec12","exp","",NA,1,NA,73,"KAO9",9,"stimulus.ejs"
"172","92.242.59.6",1418907128614,"undefined","","HSElist1Dec12","","",NA,NA,NA,1,"ANY10",10,"undefined"
"173","92.242.59.6",1418907132613,"undefined","","HSElist1Dec12","","",NA,NA,NA,2,"ANY10",10,"undefined"
"174","92.242.59.6",1418907142539,"undefined","","HSElist1Dec12","","",NA,1,NA,3,"ANY10",10,"undefined"
"175","92.242.59.6",1418907152074,"undefined","","HSElist1Dec12","","",NA,1,NA,4,"ANY10",10,"undefined"
"176","92.242.59.6",1418907161330,"undefined","","HSElist1Dec12","","",NA,1,NA,5,"ANY10",10,"undefined"
"177","92.242.59.6",1418907173477,"undefined","","HSElist1Dec12","","",NA,1,NA,6,"ANY10",10,"undefined"
"178","92.242.59.6",1418907183019,"undefined","","HSElist1Dec12","","",NA,1,NA,7,"ANY10",10,"undefined"
"179","92.242.59.6",1418907200138,"1_1_fill","M_Pl","HSElist1Dec12","fill","",NA,1,NA,9,"ANY10",10,"stimulus.ejs"
"180","92.242.59.6",1418907212178,"2_1_exp","M_Sg","HSElist1Dec12","exp","",NA,1,NA,10,"ANY10",10,"stimulus.ejs"
"181","92.242.59.6",1418907224299,"3_1_exp","NM_Pl","HSElist1Dec12","exp","",NA,1,NA,11,"ANY10",10,"stimulus.ejs"
"182","92.242.59.6",1418907234066,"4_1_fill","M_Pauc","HSElist1Dec12","fill","",NA,1,NA,12,"ANY10",10,"stimulus.ejs"
"183","92.242.59.6",1419004776213,"undefined","","HSElist1Dec12","","",NA,NA,NA,1,"KBD11",11,"undefined"
"184","95.78.24.11",1419110580586,"undefined","","HSElist1Dec12","","",NA,NA,NA,1,"ZMR12",12,"undefined"
"185","95.78.24.11",1419110653816,"undefined","","HSElist1Dec12","","",NA,NA,NA,2,"ZMR12",12,"undefined"
"186","95.78.24.11",1419110667820,"undefined","","HSElist1Dec12","","",NA,1,NA,3,"ZMR12",12,"undefined"
